run,kind,reward,control_hz,wheel_mode,speeds,total_steps,steps_done,n_episodes,best_g,last20_mean_g,all_mean_g,status,eval_g,log_unreliable,hypothesis,notes
PPO-60,ppo,v9.0,400,independent,80,1500000,84020,10,0.696,0.6226,0.6226,stopped,,true,,"net 256x256x256; lr 0.0001; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-61,ppo,v9.0,400,independent,80,1500000,391980,52,0.7524,0.5146,0.5674,stopped,,true,,"net 256x256x256; lr 0.0001; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-62,ppo,v9.0,400,independent,80,1500000,106500,15,0.9517,0.6346,0.6346,stopped,,true,,"net 256x256x256; lr 0.0001; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-63,ppo,v11.0,400,independent,80,1500000,493720,59,0.699,0.5675,0.532,stopped,,true,,"net 256x256x256; lr 0.0001; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-64,ppo,v11.0,400,independent,80,1500000,29650,7,1.1698,0.8931,0.8931,stopped,,true,,"resumed from BC-D2; net 256x256x256; lr 3e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-65,ppo,v11.0,400,independent,80,1500000,57350,11,1.1823,0.873,0.873,stopped,,true,,"resumed from BC-D2b; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-66,ppo,v11.0,400,independent,80,1500000,31990,7,1.1787,0.6895,0.6895,stopped,,true,,"resumed from BC-D3; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-67,ppo,v11.0,400,independent,80,1500000,81930,13,1.1863,0.6784,0.6784,stopped,,true,,"resumed from BC-D3; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-68,ppo,v11.0,400,independent,80,1500000,40970,16,1.192,0.6912,0.6912,stopped,,true,,"resumed from BC-D3; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-69,ppo,v11.0,400,independent,80,1500000,50340,19,1.1841,0.6503,0.6503,stopped,,true,,"resumed from BC-D3; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
