controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
policy_BC-D3,0,1.187781190063387,54.84016320994398,STOP,4.919493558150738,0.026822635916955734,7.3
policy_BC-D3,1,1.1902676209046212,54.725715015347845,STOP,5.084240432377125,0.028268137778554782,5.8
policy_BC-D3,2,1.1929343197172633,54.60334148870598,STOP,4.765864523229235,0.03660859189524898,5.8
policy_BC-D3,3,1.1991961951536148,54.31803715527507,STOP,4.275499277738826,0.030351381865216433,5.8
policy_BC-D3,4,1.1860579694377387,54.91982146513742,STOP,5.197577558354558,0.030684468560191337,5.8
policy_BC-D3,5,1.1953083730954825,54.494949911607755,STOP,4.739677357731041,0.028013008927723602,5.8
policy_BC-D3,6,1.1966692178492684,54.43291874825936,STOP,3.7078848535727285,0.02791615918288699,5.8
policy_BC-D3,7,1.1971719400772154,54.41010541829203,STOP,4.274249986422185,0.027994471761121333,5.9
policy_BC-D3,8,1.19456109610571,54.529091304537495,STOP,4.631124620634699,0.030843224966181942,5.8
policy_BC-D3,9,1.2003231887632793,54.26720216579443,STOP,3.9146161372055923,0.02923403136768918,5.8
policy_BC-D3,10,1.1975014092733425,54.39489613493665,STOP,7.027536529025504,0.03165729484784608,5.7
policy_BC-D3,11,1.1987534451009143,54.338146894580454,STOP,4.7432461200489175,0.030650842783029392,5.8
policy_BC-D3,12,1.1998445509049889,54.28877902567643,STOP,4.42416417114207,0.030068227728998042,5.7
policy_BC-D3,13,1.192144672446604,54.639533996624436,STOP,3.610262201503996,0.03585430889871091,5.7
policy_BC-D3,14,1.195811165937459,54.471924705183866,STOP,5.156076102980006,0.03206725029777892,5.8
policy_BC-D3,15,1.198532962541563,54.34831680036917,STOP,3.815682947097779,0.03214187902300303,5.8
