controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
prop_0.02_kp3.0_axle,0,1.1674087511121987,55.79706322992891,STOP,3.2963414458823252,0.052213340951548136,7.5
prop_0.02_kp3.0_axle,1,1.1593286976972725,56.18625267697916,STOP,4.304448416996658,0.04453345954318139,6.2
prop_0.03_kp3.0_axle,0,1.1524657460712522,56.52051600006993,STOP,5.171827799110702,0.04711780013585672,6.1
prop_0.03_kp3.0_axle,1,1.1539615898013647,56.447675712248234,STOP,4.484695286254093,0.05201673107367237,6.0
prop_0.04_kp3.0_axle,0,1.1584305695021238,56.229580811771676,STOP,4.9106546449601085,0.05513034512539889,6.0
prop_0.04_kp3.0_axle,1,1.1459529213105568,56.84192863812129,STOP,4.753768012300096,0.04906503327951217,6.1
prop_0.05_kp2.5_axle,0,1.1409610941268578,57.090423435296564,STOP,4.647549730341713,0.06713325967642962,5.9
prop_0.05_kp2.5_axle,1,1.1472402353865807,56.778104738436014,STOP,4.561055243960139,0.06857674211387352,5.9
prop_0.04_kp2.0_axle,0,1.136502037215065,57.31450874030107,STOP,3.463215300670096,0.07991808750593922,5.9
prop_0.04_kp2.0_axle,1,1.1271079137253708,57.79222958435423,STOP,4.7716519003890365,0.0748189489213019,6.0
