controller,rep,avg_g,dist,outcome
const_0.00,0,0.9670356126280553,67.35896388822275,STOP
const_0.00,1,0.9525500829260377,68.38306796878828,STOP
const_0.10,0,0.9639133186450634,67.57680139708097,STOP
const_0.10,1,0.9568372177175722,68.07652918003113,STOP
const_0.20,0,0.9672382230314559,67.3445776883636,STOP
const_0.20,1,0.9583129260324531,67.97201695681726,STOP
const_0.30,0,1.0065607336795153,64.71377364325733,STOP
const_0.30,1,1.0088577619542223,64.56634157143223,STOP
