controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
policy_DEPLOY-D1R,0,1.1657296866357978,55.87748385872407,STOP,4.049956273292859,0.05480241962013673,7.4
policy_DEPLOY-D1R,1,1.171570525211458,55.59893555392984,STOP,4.137693864768013,0.0454360773319786,5.9
policy_DEPLOY-D1R,2,1.1684931093751858,55.7456376473434,STOP,4.881653147216439,0.058220821118702554,6.1
policy_DEPLOY-D1R,3,1.163661252515137,55.97677270690221,STOP,4.467442790301124,0.05350294094372659,6.1
policy_DEPLOY-D1R,4,1.1636808146082465,55.9757919713736,STOP,3.4115352332550026,0.06172759143584695,6.1
policy_DEPLOY-D1R,5,1.1663900431106162,55.846199989409506,STOP,4.130937042391807,0.054245588206977065,6.1
policy_DEPLOY-D1R,6,1.1625532971460535,56.030257783136854,STOP,3.661802776261562,0.060049230511885994,6.0
policy_DEPLOY-D1R,7,1.1674904310510352,55.7932112767218,STOP,4.703345812064554,0.05567237192182803,6.0
policy_DEPLOY-D1R,8,1.1674833307805956,55.79356883120018,STOP,4.38612007018733,0.05439685780591387,5.9
policy_DEPLOY-D1R,9,1.164303267421701,55.94596755847927,STOP,3.911263814121536,0.04834156361124766,5.9
