controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
const_0.30,0,1.0063285053073874,64.72864041328067,STOP,3.256019565380092,0.8953612494592024,7.8
const_0.30,1,0.9890783750482803,65.85736831111299,STOP,4.379005486763397,0.9174944626801873,8.9
const_0.30,2,1.066695857501282,61.06539907907048,STOP,3.8885840093972455,0.7701245142272996,6.2
const_0.35,0,1.1050869634474687,58.94416393955252,STOP,4.350077669755618,0.4002040052456142,6.1
const_0.35,1,1.11847198935744,58.238381014281515,STOP,3.6469635750310125,0.022950910338258843,6.0
const_0.35,2,1.1182493474496458,58.24995854348536,STOP,3.6734846974548208,0.021027071330281623,6.0
const_0.40,0,1.0649971948391443,61.16286797113855,STOP,3.064863918842353,0.21271508896938024,6.3
const_0.40,1,1.064682129720515,61.180699105666804,STOP,3.290669306927417,0.19634543992782721,6.2
const_0.40,2,1.064501728023254,61.191412078571894,STOP,2.8752998686529563,0.19973357478796971,6.2
