controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
policy_BC-D2b,0,1.1874862888499587,54.853940366283204,STOP,4.000308324959126,0.03386769982658725,7.2
policy_BC-D2b,1,1.2019939543391456,54.19162556428075,STOP,4.192115460665353,0.031019449339100887,5.8
policy_BC-D2b,2,1.1170208998318345,58.31448133794393,STOP,4.250602606297426,0.032143431345643916,6.0
policy_BC-D2b,3,1.1449282824753981,56.89263792173884,STOP,3.4434286959084495,0.04134247537875464,6.0
policy_BC-D2b,4,1.1280817833467827,57.74223573185883,STOP,4.965584552861181,0.03537339903064036,5.9
policy_BC-D2b,5,0.9999178041630143,65.14333362813318,STOP,4.802548863244166,0.040407134431129685,6.3
policy_BC-D2b,6,0.9820410481220194,66.32938798147744,STOP,3.75526237615724,0.09843172396601953,6.6
policy_BC-D2b,7,1.0213860598792388,63.774115437970075,STOP,3.2110782733323044,0.04671713910096074,6.3
policy_BC-D2b,8,1.1264069336804385,57.82837528986909,STOP,5.866734095232239,0.04443987336715977,5.9
policy_BC-D2b,9,1.1298211485920735,57.653527131810606,STOP,3.9601761286340573,0.04162879059631446,6.0
policy_BC-D2b,10,1.1520852058616768,56.539534882221595,STOP,3.708200343846253,0.04085647704366692,6.0
policy_BC-D2b,11,1.1272860304475982,57.78335251652109,STOP,6.517111577151061,0.03795962257457175,6.0
policy_BC-D2b,12,1.0090413978224118,64.55465890453956,STOP,3.1116681323368014,0.06779906278702574,6.2
policy_BC-D2b,13,1.0167795592441287,64.0633019608156,STOP,4.167850120130844,0.06320630614322001,6.2
