controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
const_0.35,0,1.1039356525683706,59.00523997727969,STOP,3.888812769953603,0.706890345994252,8.1
prop_0.15_kp3.0,0,1.1436417097720624,56.956712727416814,STOP,3.6736905955051786,0.03978780713799565,6.8
prop_0.15_kp6.0,0,1.1728309728709683,55.53922913737493,STOP,5.6325444776926235,0.04153636962895143,6.4
prop_0.15_kp10.0,0,1.127861788352545,57.753512354953095,STOP,5.786306527316853,0.0381515784700104,6.7
prop_0.12_kp6.0,0,1.1890846744846701,54.77997429051608,STOP,3.2951470088142925,0.03573718084974318,6.4
prop_0.18_kp6.0,0,1.1505036348794564,56.61718053225991,STOP,4.923668593922703,0.027903600755828404,6.3
