controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
prop_0.00_kp3.0_axle,0,1.171381053917947,55.60792518801909,STOP,4.250082012145891,0.04358914554565164,7.5
prop_0.00_kp3.0_axle,1,1.1609394275015188,56.107979107590765,STOP,4.004716549595993,0.03736349917463489,6.2
prop_0.01_kp3.0_axle,0,1.17297008861044,55.53259787199871,STOP,4.595420977621006,0.04598271822404059,6.1
prop_0.01_kp3.0_axle,1,1.1657703740898537,55.87567381976853,STOP,3.8509714061590876,0.04123430667886623,5.9
prop_0.02_kp3.5_axle,0,1.14347307883704,56.965216312460875,STOP,4.646273802453767,0.038786672940914264,6.3
prop_0.02_kp3.5_axle,1,1.1491431030428438,56.683957586560794,STOP,4.610252025176315,0.04335335128460428,6.3
prop_0.02_kp2.5_axle,0,1.1683384218538682,55.75270627023733,STOP,3.367251566117638,0.0589661326265877,6.1
prop_0.02_kp2.5_axle,1,1.1553557113761084,56.37927128260602,STOP,5.096950392371751,0.05913705134491466,6.0
prop_0.01_kp3.0_axle,0,1.1698061392766521,55.682742702598766,STOP,3.8481323489824812,0.055750366398133314,6.1
prop_0.01_kp3.0_axle,1,1.1588086700238656,56.21125445620001,STOP,3.0969329528672995,0.046933810170448814,6.3
