controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
prop_0.04_kp6.0,0,1.1997534315386367,54.292839148706946,STOP,4.573630477136747,0.029288602520755668,7.2
prop_0.04_kp6.0,1,1.2009921899981029,54.23690913336325,STOP,3.9766039873967443,0.028918388889533093,5.9
prop_0.04_kp6.0,2,1.1976495928646582,54.38838902082758,STOP,3.8373526420722714,0.02575286426685244,5.7
prop_0.06_kp6.0,0,1.20651536271972,53.988496011971215,STOP,5.416945232425448,0.02522757129918996,5.8
prop_0.06_kp6.0,1,1.2095819924078033,53.85164344116772,STOP,4.089626892610133,0.029780486409696317,5.8
prop_0.06_kp6.0,2,1.2109514305566236,53.790790961722834,STOP,3.7022804817733452,0.02929741269948862,5.8
prop_0.08_kp6.0,0,1.206648578784409,53.98297863293233,STOP,4.326730532218609,0.02785423794893181,5.8
prop_0.08_kp6.0,1,1.2050469758584823,54.05430960473721,STOP,5.185143892570913,0.029062752854874814,5.8
prop_0.08_kp6.0,2,1.207020695386992,53.96607564577681,STOP,4.599563506107812,0.027790249984368565,5.7
prop_0.10_kp6.0,0,1.1947484949454137,54.520393844861935,STOP,5.517545473160324,0.027446269279616905,5.7
prop_0.10_kp6.0,1,1.1932529253326987,54.58878154566719,STOP,4.8380023253241236,0.029407274806062044,5.7
prop_0.10_kp6.0,2,1.1918080035404603,54.65499630269044,STOP,3.9003942028248564,0.028558536822716824,5.8
