controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
policy_DEPLOY-BC1,0,0.8743533975023717,74.49880168079223,STOP,4.403919455633156,0.03223698287064505,9.0
policy_DEPLOY-BC1,1,0.8950562289873324,72.77543183538026,STOP,3.5116614989919186,0.03324905982107342,7.5
policy_DEPLOY-BC1,2,0.9411283122245128,69.21294290060837,STOP,3.825263101167223,0.030779403918872926,7.3
policy_DEPLOY-BC1,3,0.92159865276388,70.67935469616245,STOP,3.654344102391744,0.029883578119847688,7.4
policy_DEPLOY-BC1,4,0.8797049982011583,74.04525522296889,STOP,4.468773941844555,0.03399347028216654,7.6
policy_DEPLOY-BC1,5,0.8318135465813816,78.30855872568412,STOP,4.333658599503671,0.033551121409709596,7.8
policy_DEPLOY-BC1,6,1.112919493733179,58.52925341596574,STOP,3.920745484184633,0.14395643217227197,5.9
policy_DEPLOY-BC1,7,1.1475204337631746,56.764150599010314,STOP,4.402863549476666,0.05904511221333451,6.1
policy_DEPLOY-BC1,8,0.8695760505584681,74.90805657364133,STOP,4.974656913494863,0.03961396397058706,7.5
policy_DEPLOY-BC1,9,0.8988545238944365,72.46799927541029,STOP,4.296102385640541,0.034180057520788974,7.5
policy_DEPLOY-BC1,10,1.0818665501737694,60.20937528705163,STOP,3.2037192181005048,0.16715259884149386,6.0
policy_DEPLOY-BC1,11,1.0981438101575758,59.31643846614286,STOP,2.9844253898620203,0.13270603597949954,6.0
policy_DEPLOY-BC1,12,0.8817722266147435,73.87174189191771,STOP,4.0148909400792565,0.035611810429145366,7.4
policy_DEPLOY-BC1,13,1.074408443832729,60.626840352149365,STOP,4.40110082762396,0.18655693008229718,6.0
policy_DEPLOY-BC1,14,0.8997048965179038,72.39934166716624,STOP,3.560979975013842,0.045946232456544736,7.5
policy_DEPLOY-BC1,15,0.9807530483435705,66.4163049480798,STOP,4.241729221906236,0.038576354034794307,6.9
policy_DEPLOY-BC1,16,0.8956378921047574,72.72836018134487,STOP,4.865080225355837,0.03389982065729781,7.5
policy_DEPLOY-BC1,17,1.076601627175628,60.503443286966174,STOP,4.832514605217808,0.05079602274428338,6.6
policy_DEPLOY-BC1,18,1.061821769531325,61.34552045992939,STOP,4.17906836639009,0.049208582913670404,6.6
policy_DEPLOY-BC1,19,0.8489649019822468,76.7265536917192,STOP,3.9972571693243224,0.04030723281248353,7.7
policy_DEPLOY-BC1,20,0.9004390158247931,72.34048923757766,STOP,4.987337561979141,0.034282447181449203,7.4
policy_DEPLOY-BC1,21,0.9083237853537844,71.71240954389289,STOP,4.182140852032248,0.03617215450532967,7.6
policy_DEPLOY-BC1,22,0.9223534743511592,70.62147796125554,STOP,3.9468400732031093,0.03127424624033668,7.4
policy_DEPLOY-BC1,23,0.8129544968583915,80.12498637598169,STOP,4.25875243458244,0.036856587571037415,8.1
policy_DEPLOY-BC1,24,1.1556662300669418,56.36399630953781,STOP,3.8277867674600916,0.055659144778473994,6.1
policy_DEPLOY-BC1,25,0.9126189644703271,71.37474348267736,STOP,4.774220498551517,0.04043160489540246,7.4
policy_DEPLOY-BC1,26,1.10698970869458,58.84266919328936,STOP,4.209734240913308,0.046883210202031476,6.5
policy_DEPLOY-BC1,27,1.116176560035386,58.35867521894926,STOP,4.18721589151069,0.1318015052465489,5.9
policy_DEPLOY-BC1,28,1.0680076490703692,60.990522943407996,STOP,4.023907003025443,0.1275903827007278,6.0
policy_DEPLOY-BC1,29,0.8752547856721077,74.42190340183183,STOP,4.938932747748106,0.0313552586171499,7.6
