controller,rep,avg_g,dist,outcome,peak_g,yaw_abs,wall_s
const_0.35,0,1.1189996357289265,58.21134621125677,STOP,3.1568081081869717,0.027475865543447064,9.3
const_0.40,0,1.0647192838104034,61.17862525646603,STOP,3.982032304772205,0.19235189656579663,7.9
const_0.45,0,1.0021140135560767,65.00075864635488,STOP,4.425488602870947,0.08683642602448349,7.8
const_0.55,0,0.7809940000155084,83.40404695688207,STOP,4.123497478090643,0.04099867788055686,9.3
prop_0.15_kp3.0,0,1.0977873838978323,59.33594431611565,STOP,4.636742041169096,0.06817752837658188,8.3
prop_0.15_kp6.0,0,0.9989957060133308,65.20371939738683,STOP,3.5458669025692786,0.0868153044074279,8.0
prop_0.21_kp3.0,0,1.0687765316317697,60.94635299390307,STOP,4.335362600348872,0.06876480557413742,7.7
prop_0.21_kp6.0,0,0.9682153287204477,67.27635516422342,STOP,3.0438192691524906,0.048947558926811296,8.5
prop_0.21_kp10.0,0,0.9730108595772996,66.94496331280115,STOP,6.153621647360212,0.09971284328438516,8.3
